AN	CLUSTER	MORPH_TYPE	EXPONENT	BASE_POS	BASE_SEM
"NC:météorologiste"	3	affixed	iste	n	domain
"NC:métreur"	2	affixed	eur	v	action
"NC:metteur"	3	affixed	eur	v	action
"NC:meurtrier"	4	affixed	ier	n	action
"NC:microbiologiste"	3	affixed	iste	n	domain
"NC:migrant"	1	conversion	ant	v	action
"NC:migrateur"	1	affixed	eur	v	action
"NC:militant"	1	conversion	ant	v	action
"NC:miniaturiste"	3	affixed	iste	n	object
"NC:miroitier"	2	affixed	ier	n	object
"NC:missilier"	6	affixed	ier	n	object
"NC:missionnaire"	3	affixed	aire	n	action
"NC:mitrailleur"	6	affixed	eur	v	action
"NC:modeleur"	2	affixed	eur	v	action
"NC:modéliste"	2	affixed	iste	n	object
"NC:modiste"	2	affixed	iste	n	domain
"NC:moissonneur"	4	affixed	eur	v	action
"NC:monteur"	3	affixed	eur	v	action
"NC:montreur"	5	affixed	eur	v	action
