AN	CLUSTER	MORPH_TYPE	EXPONENT	BASE_POS	BASE_SEM
"NC:cycliste"	6	affixed	iste	n	domain
"NC:cymbaliste"	5	affixed	iste	n	domain
"NC:danseur"	3	affixed	eur	v	action
"NC:débatteur"	4	affixed	eur	v	action
"NC:débitant"	2	conversion	ant	v	action
"NC:déboucheur"	2	affixed	eur	v	action
"NC:débutant"	6	conversion	ant	v	action
"NC:décapeur"	5	affixed	eur	v	action
"NC:déchiffreur"	3	affixed	eur	v	action
"NC:décideur"	1	affixed	eur	v	action
"NC:décisionnaire"	1	affixed	aire	n	action
"NC:déconneur"	5	affixed	eur	v	action
"NC:décorateur"	3	affixed	eur	v	action
"NC:découpeur"	4	affixed	eur	v	action
"NC:découvreur"	3	affixed	eur	v	action
"NC:découvreuse"	3	affixed	eur	v	action
"NC:décrypteur"	6	affixed	eur	v	action
"NC:défendeur"	1	affixed	eur	v	action
"NC:défenseur"	6	affixed	eur	v	action
"NC:dégustateur"	1	affixed	eur	v	action
"NC:demandeur"	1	affixed	eur	v	action
"NC:démarcheur"	2	affixed	eur	v	action
"NC:déménageur"	2	affixed	eur	v	action
"NC:déménageuse"	5	affixed	eur	v	action
"NC:démineur"	6	affixed	eur	v	action
"NC:démissionnaire"	3	affixed	aire	v	action
"NC:démolisseur"	4	affixed	eur	v	action
"NC:démonstrateur"	6	affixed	eur	v	action
"NC:démystificateur"	3	affixed	eur	v	action
"NC:dénicheur"	5	affixed	eur	v	action
"NC:dénonciateur"	4	affixed	eur	v	action
"NC:dentiste"	2	affixed	iste	n	object
"NC:dépanneur"	2	affixed	eur	v	action
"NC:dépeceur"	5	affixed	eur	v	action
"NC:dépensier"	4	affixed	ier	n	action
"NC:déposant"	1	conversion	ant	v	action
"NC:dermatologiste"	3	affixed	iste	n	domain
"NC:descendeur"	6	affixed	eur	v	action
"NC:déserteur"	4	affixed	eur	v	action
"NC:désosseur"	5	affixed	eur	v	action
"NC:dessinateur"	3	affixed	eur	v	action
"NC:détaillant"	1	conversion	ant	v	action
"NC:déterreur"	5	affixed	eur	v	action
"NC:détrousseur"	4	affixed	eur	v	action
"NC:dévoreur"	4	affixed	eur	v	action
"NC:diagnostiqueur"	6	affixed	eur	v	action
"NC:dialecticien"	4	affixed	ien	n	domain
"NC:dialoguiste"	3	affixed	iste	n	objCog
"NC:diamantaire"	2	affixed	aire	n	object
"NC:dictateur"	4	affixed	eur	v	action
"NC:dictatrice"	5	affixed	eur	v	action
"NC:diététicien"	2	affixed	ien	n	domain
"NC:diététiste"	3	affixed	iste	n	domain
"NC:diffamateur"	4	affixed	eur	v	action
"NC:dîneur"	5	affixed	eur	v	action
"NC:directeur"	3	affixed	eur	v	action
"NC:directrice"	3	affixed	eur	v	action
"NC:dirigeant"	1	conversion	ant	v	action
"NC:discoureur"	4	affixed	eur	v	action
"NC:diseur"	4	affixed	eur	v	action
"NC:dispensateur"	4	affixed	eur	v	action
"NC:dissipateur"	6	affixed	eur	v	action
"NC:documentaliste"	3	affixed	iste	n	objCog
"NC:documentariste"	3	affixed	iste	n	objCog
"NC:dominateur"	4	affixed	eur	v	action
"NC:dompteur"	4	affixed	eur	v	action
"NC:donateur"	1	affixed	eur	v	action
"NC:donneur"	1	affixed	eur	v	action
"NC:dormeur"	4	affixed	eur	v	action
"NC:dormeuse"	5	affixed	eur	v	action
"NC:douanier"	2	affixed	ier	n	object
"NC:doubleur"	3	affixed	eur	v	action
"NC:doubleuse"	3	affixed	eur	v	action
"NC:dragueur"	6	affixed	eur	v	action
"NC:dragueuse"	5	affixed	eur	v	action
"NC:drapier"	2	affixed	ier	n	object
"NC:dresseur"	6	affixed	eur	v	action
"NC:dresseuse"	5	affixed	eur	v	action
"NC:dribbleur"	6	affixed	eur	v	action
"NC:droguiste"	2	affixed	iste	n	object
"NC:duelliste"	4	affixed	iste	n	action
"NC:duettiste"	5	affixed	iste	n	action
"NC:dynamiteur"	6	affixed	eur	v	action
"NC:ébéniste"	2	affixed	iste	n	object
"NC:éboueur"	4	affixed	eur	v	action
"NC:échographiste"	5	affixed	iste	n	action
"NC:échotier"	3	affixed	ier	n	objCog
"NC:éclairagiste"	3	affixed	iste	n	action
"NC:éclusier"	2	affixed	ier	n	object
"NC:écolier"	2	affixed	ier	n	institution
